Combination,Accuracy,Precision,Recall,F1 Score,Next_Day_Prediction
ATR,0.618421052631579,0.5876795162509448,0.5863095238095238,0.5868791002811622,0
OBV,0.6052631578947368,0.5866477272727273,0.5907738095238095,0.5869565217391304,0
RSI_14,0.5789473684210527,0.5658263305322129,0.5699404761904762,0.5641577060931899,0
SMA_10,0.631578947368421,0.625,0.6339285714285714,0.6221590909090909,0
SMA_30,0.4473684210526316,0.4247159090909091,0.42113095238095244,0.4217391304347826,0
Bullish_Momentum,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484,1
Bearish_Momentum,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484,1
Bearish_Crossover,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484,1
High_Volatility,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484,1
Volume_Pressure,0.7105263157894737,0.7484848484848485,0.6220238095238095,0.6140350877192983,1
ATR OBV,0.5,0.47101449275362317,0.47023809523809523,0.4702861335289802,0
ATR RSI_14,0.4868421052631579,0.4530447542186353,0.45238095238095244,0.4526315789473684,0
ATR SMA_10,0.5657894736842105,0.5302343159486016,0.5297619047619048,0.5298969072164949,0
ATR SMA_30,0.5,0.45384615384615384,0.45535714285714285,0.45427059712774,0
ATR Bullish_Momentum,0.5657894736842105,0.5493305144467935,0.5520833333333333,0.5481895154026302,0
ATR Bearish_Momentum,0.618421052631579,0.5876795162509448,0.5863095238095238,0.5868791002811622,0
ATR Bearish_Crossover,0.631578947368421,0.6041666666666667,0.6041666666666667,0.6041666666666667,0
ATR High_Volatility,0.5921052631578947,0.5645634629493763,0.5654761904761905,0.5649122807017544,0
ATR Volume_Pressure,0.6447368421052632,0.6129411764705883,0.6071428571428572,0.6089193825042881,0
OBV RSI_14,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
OBV SMA_10,0.7368421052631579,0.717948717948718,0.7023809523809523,0.7076923076923076,0
OBV SMA_30,0.631578947368421,0.6,0.5967261904761905,0.5978835978835979,0
OBV Bullish_Momentum,0.5657894736842105,0.5623700623700624,0.5669642857142857,0.556498673740053,0
OBV Bearish_Momentum,0.6052631578947368,0.5866477272727273,0.5907738095238095,0.5869565217391304,0
OBV Bearish_Crossover,0.5921052631578947,0.5702508960573477,0.5729166666666667,0.5706214689265536,0
OBV High_Volatility,0.6447368421052632,0.6296687808315715,0.6369047619047619,0.6303368762385155,0
OBV Volume_Pressure,0.618421052631579,0.5831372549019608,0.5788690476190476,0.5799504478749762,0
RSI_14 SMA_10,0.5131578947368421,0.48092443140132063,0.48065476190476186,0.4807017543859649,0
RSI_14 SMA_30,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
RSI_14 Bullish_Momentum,0.5789473684210527,0.5658263305322129,0.5699404761904762,0.5641577060931899,0
RSI_14 Bearish_Momentum,0.5789473684210527,0.5658263305322129,0.5699404761904762,0.5641577060931899,0
RSI_14 Bearish_Crossover,0.5526315789473685,0.5458333333333334,0.5491071428571428,0.5411931818181819,0
RSI_14 High_Volatility,0.5526315789473685,0.5326704545454546,0.5342261904761905,0.5318840579710145,0
RSI_14 Volume_Pressure,0.5657894736842105,0.5493305144467935,0.5520833333333333,0.5481895154026302,0
SMA_10 SMA_30,0.47368421052631576,0.4593837535014006,0.45684523809523814,0.4551971326164874,0
SMA_10 Bullish_Momentum,0.5789473684210527,0.5938375350140056,0.5997023809523809,0.5763066202090592,0
SMA_10 Bearish_Momentum,0.618421052631579,0.615038115038115,0.6235119047619048,0.6102564102564103,0
SMA_10 Bearish_Crossover,0.618421052631579,0.6087108013937282,0.6160714285714286,0.6069199215266631,0
SMA_10 High_Volatility,0.6052631578947368,0.592436974789916,0.5982142857142857,0.5913978494623656,0
SMA_10 Volume_Pressure,0.5921052631578947,0.5761099365750528,0.5803571428571428,0.575571969014592,0
SMA_30 Bullish_Momentum,0.42105263157894735,0.4138888888888889,0.40773809523809523,0.40625,0
SMA_30 Bearish_Momentum,0.4473684210526316,0.4247159090909091,0.42113095238095244,0.4217391304347826,0
SMA_30 Bearish_Crossover,0.47368421052631576,0.45170454545454547,0.44940476190476186,0.4492753623188406,0
SMA_30 High_Volatility,0.4473684210526316,0.41594202898550725,0.41369047619047616,0.4145267791636097,0
SMA_30 Volume_Pressure,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
Bullish_Momentum Bearish_Momentum,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484,1
Bullish_Momentum Bearish_Crossover,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484,1
Bullish_Momentum High_Volatility,0.631578947368421,0.5714285714285714,0.5223214285714286,0.46959122632103695,1
Bullish_Momentum Volume_Pressure,0.6710526315789473,0.6904761904761905,0.5684523809523809,0.536019536019536,1
Bearish_Momentum Bearish_Crossover,0.618421052631579,0.31333333333333335,0.4895833333333333,0.38211382113821135,1
Bearish_Momentum High_Volatility,0.618421052631579,0.31333333333333335,0.4895833333333333,0.38211382113821135,1
Bearish_Momentum Volume_Pressure,0.7105263157894737,0.7484848484848485,0.6220238095238095,0.6140350877192983,1
Bearish_Crossover High_Volatility,0.6578947368421053,0.8243243243243243,0.5357142857142857,0.4601092896174863,1
Bearish_Crossover Volume_Pressure,0.6973684210526315,0.7321724709784412,0.6041666666666667,0.5891891891891892,1
High_Volatility Volume_Pressure,0.6842105263157895,0.7132352941176471,0.5863095238095238,0.5632183908045977,1
ATR OBV RSI_14,0.4868421052631579,0.4612903225806452,0.4598214285714286,0.45981410606889006,0
ATR OBV SMA_10,0.6842105263157895,0.6584615384615384,0.6532738095238095,0.655328798185941,0
ATR OBV SMA_30,0.5789473684210527,0.5415384615384615,0.5401785714285714,0.5404383975812547,0
ATR OBV Bullish_Momentum,0.5263157894736842,0.5126050420168067,0.5133928571428572,0.5096774193548388,0
ATR OBV Bearish_Momentum,0.47368421052631576,0.4434782608695652,0.4419642857142857,0.44240645634629505,0
ATR OBV Bearish_Crossover,0.4605263157894737,0.41534391534391535,0.4166666666666667,0.4159325210871603,0
ATR OBV High_Volatility,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR OBV Volume_Pressure,0.4605263157894737,0.42516507703595013,0.42410714285714285,0.4245614035087719,0
ATR RSI_14 SMA_10,0.5394736842105263,0.485233798195242,0.48660714285714285,0.4835954183653659,0
ATR RSI_14 SMA_30,0.5131578947368421,0.48092443140132063,0.48065476190476186,0.4807017543859649,0
ATR RSI_14 Bullish_Momentum,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
